Wall time,Step,ep_len_mean,ep_rew_mean
1679641493.05401,8192,946.428588867187,-187.806091308594
1679641508.31956,10240,1203.375,106.933166503906
1679641600.79408,22528,1567.07690429688,425.942230224609
1679641664.02479,30720,1526.15002441406,290.158020019531
1679641679.42978,32768,1511.95239257813,270.589050292969
1679641726.25368,38912,1477.15380859375,208.297088623047
1679641741.53703,40960,1488.59265136719,210.503540039062
1679641756.94919,43008,1499.14282226562,212.434860229492
1679641788.47121,47104,1499.19360351563,198.023361206055
1679641804.06776,49152,1515.6875,205.264846801758
1679641850.34796,55296,1543.74279785156,213.813781738281
1679641865.84523,57344,1543,209.992858886719
1679641957.47003,69632,1642.45239257813,312.211547851562
1679642033.00673,79872,1726.86669921875,407.757629394531
1679642063.59909,83968,1781.12768554688,486.750762939453
1679642168.99335,98304,1876.88232421875,631.629272460938
1679642184.29726,100352,1898.51928710938,662.732604980469
1679642199.53638,102400,1919.33959960938,698.764892578125
1679642229.63829,106496,1939.38891601563,733.150207519531
1679642275.26025,112640,1977.33923339844,802.667785644531
1679642320.65543,118784,2012.67236328125,868.420227050781
1679642366.13897,124928,2045.65002441406,935.985229492188
1679642381.60759,126976,2061.32788085938,968.564819335938
1679642397.19503,129024,2076.5,998.440368652344
1679642412.82487,131072,2076.5,998.440368652344
1679642443.52651,135168,2105.421875,1058.97009277344
1679642458.36532,137216,2105.421875,1058.97009277344
1679642473.89255,139264,2119.21533203125,1086.30725097656
1679642489.29688,141312,2132.5908203125,1114.43249511719
1679642520.4153,145408,2145.56713867187,1140.41564941406
1679642535.72597,147456,2158.16186523437,1165.65417480469
1679642628.25407,159744,2205.04174804688,1260.6943359375
1679642659.04023,163840,2215.958984375,1280.76025390625
1679642674.36281,165888,2226.5810546875,1298.64794921875
1679642704.63068,169984,2236.919921875,1317.39367675781
1679642751.0417,176128,2256.79223632812,1352.66125488281
1679642812.75301,184320,2284.73754882812,1399.45275878906
1679642965.622,204800,2342.4482421875,1512.22509765625
1679642980.78721,206848,2349.94311523437,1529.68518066406
1679643026.62966,212992,2360.53344726563,1518.56298828125
1679643072.59066,219136,2374.47827148437,1524.40515136719
