Wall time,Step,ep_len_mean,ep_rew_mean
1679732567.49711,2048,706,-2102.18823242187
1679732596.87989,6144,1340.25,-2848.38818359375
1679732611.04899,8192,1340.25,-2848.38818359375
1679732625.80049,10240,1672.59997558594,-3141.08984375
1679732669.25091,16384,2052.42846679687,-3319.45727539062
1679732698.08829,20480,2242.22216796875,-3550.2255859375
1679732712.1961,22528,2242.22216796875,-3550.2255859375
1679732726.84322,24576,2318.19995117187,-3629.59765625
1679732769.71846,30720,2432.16674804688,-3593.56396484375
1679732784.05934,32768,2476,-3536.57177734375
1679732798.14676,34816,2476,-3536.57177734375
1679732812.51183,36864,2513.57153320312,-3477.90991210937
1679732826.85952,38912,2546.13330078125,-3432.94360351562
1679732840.6516,40960,2546.13330078125,-3432.94360351562
1679732855.29136,43008,2574.625,-3394.2861328125
1679732870.25658,45056,2583.35302734375,-3431.44750976563
1679732885.23011,47104,2460.68432617187,-3381.49658203125
1679732899.19408,49152,2460.68432617187,-3381.49658203125
1679732928.72722,53248,2389.0908203125,-3410.76586914062
1679732943.1641,55296,2378.56518554687,-3437.6396484375
1679732957.27458,57344,2378.56518554687,-3437.6396484375
1679732971.80655,59392,2404.54174804688,-3470.32690429688
1679732986.40611,61440,2428.43994140625,-3494.08642578125
1679733000.23373,63488,2428.43994140625,-3494.08642578125
1679733014.99243,65536,2450.5,-3517.14233398437
1679733029.48136,67584,2470.92602539062,-3508.44116210938
1679733044.13056,69632,2479.07153320312,-3520.21362304687
1679733058.13042,71680,2479.07153320312,-3520.21362304687
1679733088.35014,75776,2433.74194335937,-3458.47875976562
1679733104.18142,77824,2401.1875,-3437.31030273437
1679733119.13663,79872,2371.57568359375,-3417.00537109375
1679733133.45897,81920,2367,-3414.65112304687
1679733147.78457,83968,2361.02856445312,-3411.92041015625
1679733176.46276,88064,2344.13525390625,-3398.2431640625
1679733190.66499,90112,2332.21044921875,-3387.50170898437
1679733234.66137,96256,2282.90478515625,-3340.8994140625
1679733249.17224,98304,2270.04663085938,-3329.1171875
1679733263.77636,100352,2255.68188476562,-3315.43579101562
1679733278.33523,102400,2243.5556640625,-3303.97900390625
1679733293.25795,104448,2216.82983398437,-3278.88671875
1679733307.82278,106496,2201.95825195312,-3263.8779296875
1679733322.46208,108544,2187.6123046875,-3249.5859375
1679733337.85664,110592,2164.11767578125,-3227.03588867187
1679733352.34825,112640,2153.1923828125,-3216.34301757812
1679733366.66054,114688,2142.4716796875,-3205.62939453125
1679733395.98028,118784,2112.82153320312,-3176.18432617187
1679733410.41067,120832,2104.70166015625,-3168.02416992188
1679733439.41349,124928,2091.525390625,-3155.76635742187
1679733453.82031,126976,2087.39990234375,-3153.36743164062
1679733468.89204,129024,2078.82250976562,-3146.78369140625
1679733483.4037,131072,2073.92065429687,-3139.18994140625
1679733511.55396,135168,2074.703125,-3139.3212890625
1679733525.95806,137216,2088.96923828125,-3144.380859375
1679733540.25244,139264,2102.80297851562,-3137.40185546875
1679733554.06233,141312,2102.80297851562,-3137.40185546875
1679733582.6541,145408,2112.970703125,-3196.197265625
1679733597.14596,147456,2125.85498046875,-3243.15673828125
1679733611.69793,149504,2134.04296875,-3352.58715820312
1679733625.76626,151552,2134.04296875,-3352.58715820312
1679733654.99533,155648,2157.0693359375,-3588.1376953125
1679733668.98633,157696,2157.0693359375,-3588.1376953125
1679733683.49906,159744,2168.64379882812,-3636.72143554687
1679733698.37139,161792,2153.8798828125,-3737.21850585938
1679733712.20068,163840,2153.8798828125,-3737.21850585938
1679733727.2658,165888,2147.58447265625,-3886.45776367187
1679733741.80745,167936,2136.82055664062,-3908.63989257812
1679733756.66432,169984,2118.10009765625,-3970.1640625
1679733771.58867,172032,2097.81713867187,-4014.88745117188
1679733785.9679,174080,2092.2529296875,-4052.03002929688
1679733799.81868,176128,2092.2529296875,-4052.03002929688
1679733814.16845,178176,2103.08325195312,-4161.56591796875
1679733828.69369,180224,2113.65893554688,-4255.64501953125
1679733843.94337,182272,2108.22094726562,-4291.5439453125
1679733858.32138,184320,2104.33325195312,-4328.43701171875
1679733872.75937,186368,2100.95458984375,-4385.91357421875
1679733901.72048,190464,2105.98876953125,-4520.39697265625
1679733930.41454,194560,2110.1630859375,-4580.83251953125
1679733944.90043,196608,2103.61279296875,-4557.07177734375
1679733959.20366,198656,2097.87231445312,-4534.5390625
1679734001.86156,204800,2111.57299804688,-4538.88818359375
1679734016.32271,206848,2115.68041992187,-4574.25732421875
1679734030.77818,208896,2112.75512695312,-4583.123046875
1679734059.59005,212992,2121.53002929687,-4588.6142578125
1679734074.09246,215040,2132.53002929688,-4622.150390625
1679734103.47708,219136,2135.30004882812,-4697.15185546875
1679734118.02827,221184,2122.80004882812,-4702.6376953125
1679734132.73635,223232,2117.8701171875,-4748.552734375
1679734146.65303,225280,2117.8701171875,-4748.552734375
1679734161.05546,227328,2117.8701171875,-4748.69873046875
1679734175.41324,229376,2117.8701171875,-4756.90771484375
1679734189.21836,231424,2117.8701171875,-4756.90771484375
1679734217.85218,235520,2097.86010742187,-4713.3583984375
1679734232.08756,237568,2097.86010742187,-4698.09814453125
1679734246.81907,239616,2095.51000976563,-4727.8310546875
1679734260.90808,241664,2095.51000976563,-4727.8310546875
1679734275.38015,243712,2095.51000976563,-4719.15234375
1679734289.63454,245760,2095.51000976563,-4713.43212890625
1679734304.08869,247808,2080.98999023438,-4711.154296875
1679734318.65845,249856,2080.98999023438,-4704.45263671875
1679734332.53451,251904,2080.98999023438,-4704.45263671875
1679734346.85976,253952,2083.78002929687,-4702.66552734375
1679734375.61129,258048,2099.96997070313,-4692.9951171875
1679734390.21555,260096,2115.4599609375,-4684.73388671875
1679734404.9239,262144,2120.26000976562,-4745.5732421875
1679734418.94472,264192,2120.26000976562,-4745.5732421875
1679734433.66145,266240,2130.80004882812,-4735.59619140625
1679734448.30084,268288,2147.44995117187,-4763.728515625
1679734462.7133,270336,2156,-4758.6982421875
1679734476.58406,272384,2156,-4758.6982421875
1679734505.32903,276480,2156,-4722.74072265625
1679734533.77397,280576,2156,-4701.51708984375
1679734548.42183,282624,2156,-4686.49853515625
1679734562.67652,284672,2156,-4686.49853515625
1679734576.97959,286720,2159.03002929688,-4667.9833984375
1679734591.28529,288768,2159.03002929688,-4667.2783203125
1679734605.08538,290816,2159.03002929688,-4667.2783203125
1679734633.72642,294912,2188.77001953125,-4648.9736328125
1679734647.51792,296960,2188.77001953125,-4648.9736328125
1679734661.89954,299008,2204.8701171875,-4641.146484375
1679734676.82265,301056,2220.64990234375,-4632.0986328125
1679734690.85282,303104,2220.64990234375,-4632.0986328125
1679734705.32292,305152,2228.51000976563,-4615.14697265625
1679734733.57234,309248,2236.94995117188,-4595.5224609375
1679734762.59064,313344,2256.02001953125,-4555.27978515625
1679734777.32254,315392,2267.1298828125,-4538.3359375
1679734791.36681,317440,2267.1298828125,-4538.3359375
1679734820.81241,321536,2289.7099609375,-4504.1337890625
1679734834.61992,323584,2289.7099609375,-4504.1337890625
1679734848.98078,325632,2301.830078125,-4486.8623046875
1679734863.30367,327680,2314.6298828125,-4469.5849609375
1679734877.36542,329728,2314.6298828125,-4469.5849609375
1679734891.86295,331776,2327.35009765625,-4453.16943359375
1679734906.32131,333824,2340.98999023437,-4436.66259765625
1679734920.07932,335872,2340.98999023437,-4436.66259765625
1679734934.47389,337920,2353.90991210937,-4418.9013671875
1679734948.79922,339968,2367.3701171875,-4402.70751953125
1679734962.95994,342016,2367.3701171875,-4402.70751953125
1679734991.66551,346112,2396.6298828125,-4370.509765625
1679735005.43932,348160,2396.6298828125,-4370.509765625
1679735019.83041,350208,2411.65991210937,-4354.0361328125
1679735034.20946,352256,2426.25,-4337.39013671875
1679735048.14007,354304,2426.25,-4337.39013671875
1679735062.53321,356352,2439.92993164062,-4319.74609375
1679735077.55546,358400,2453.98999023437,-4301.9873046875
1679735092.29144,360448,2468.15991210938,-4284.435546875
1679735106.20408,362496,2468.15991210938,-4284.435546875
1679735120.9484,364544,2482.2900390625,-4266.0126953125
1679735135.40154,366592,2496.64990234375,-4247.42919921875
1679735163.94647,370688,2510.55004882812,-4228.30615234375
1679735178.37919,372736,2524.07006835937,-4209.21826171875
1679735192.64629,374784,2524.07006835937,-4209.21826171875
1679735207.57875,376832,2537.06005859375,-4189.23388671875
1679735222.99263,378880,2549.7900390625,-4168.4921875
1679735236.89993,380928,2549.7900390625,-4168.4921875
1679735251.2156,382976,2561.3701171875,-4146.07958984375
1679735294.47189,389120,2584.97998046875,-4101.87939453125
1679735308.9161,391168,2597.30004882812,-4082.42895507813
1679735322.95433,393216,2597.30004882812,-4082.42895507813
1679735337.96547,395264,2606.080078125,-4057.98461914063
1679735353.77945,397312,2606.080078125,-4030.20629882812
1679735368.22186,399360,2606.080078125,-4030.20629882812
1679735382.97011,401408,2606.080078125,-4010.44970703125
1679735411.8217,405504,2617.14990234375,-3921.8154296875
1679735425.86019,407552,2617.14990234375,-3921.8154296875
1679735440.56065,409600,2617.14990234375,-3864.30102539062
1679735455.06518,411648,2620.17993164062,-3762.02954101562
1679735484.04221,415744,2620.9599609375,-3657.00390625
1679735498.57153,417792,2620.9599609375,-3539.13403320312
1679735512.97418,419840,2620.9599609375,-3539.13403320312
1679735528.30621,421888,2620.9599609375,-3474.333984375
1679735543.92299,423936,2633.580078125,-3406.83520507813
1679735558.23116,425984,2633.580078125,-3406.83520507813
1679735572.56353,428032,2648.69995117188,-3339.49853515625
1679735586.9248,430080,2653.22998046875,-3211.01879882813
1679735600.75699,432128,2653.22998046875,-3211.01879882813
1679735615.17989,434176,2670.51000976562,-3163.19580078125
1679735643.58343,438272,2687.44995117187,-3113.48315429687
1679735658.15506,440320,2703.36010742187,-3051.7021484375
1679735673.53739,442368,2719.72998046875,-2999.17260742187
1679735687.43648,444416,2719.72998046875,-2999.17260742187
1679735716.10646,448512,2754.0400390625,-2896.23510742187
1679735731.06353,450560,2767.69995117187,-2831.5869140625
1679735745.58968,452608,2767.69995117187,-2831.5869140625
1679735760.02569,454656,2767.69995117187,-2705.615234375
1679735774.42077,456704,2767.69995117187,-2590.26025390625
1679735788.28118,458752,2767.69995117187,-2590.26025390625
1679735802.74725,460800,2781.26000976562,-2523.15209960937
1679735817.01205,462848,2793.580078125,-2454.70092773437
1679735830.90864,464896,2793.580078125,-2454.70092773437
1679735874.24758,471040,2811.44995117188,-2263.90161132813
1679735888.63785,473088,2819.02001953125,-2170.87280273437
1679735902.92962,475136,2824.72998046875,-2119.07983398437
1679735916.74066,477184,2824.72998046875,-2119.07983398437
1679735931.01159,479232,2833.10009765625,-2037.49633789062
1679735945.38459,481280,2848.11010742187,-2019.98449707031
1679735959.17502,483328,2848.11010742187,-2019.98449707031
1679735973.49396,485376,2862.48999023437,-2001.80725097656
1679735987.88514,487424,2862.48999023437,-1983.56909179688
1679736002.24605,489472,2867.419921875,-1919.26965332031
1679736016.15334,491520,2867.419921875,-1919.26965332031
1679736044.91326,495616,2884.07006835937,-1797.39221191406
1679736058.79936,497664,2884.07006835937,-1797.39221191406
1679736073.25638,499712,2893.080078125,-1748.39880371094
1679736087.80306,501760,2893.080078125,-1712.79284667969
1679736101.55351,503808,2893.080078125,-1712.79284667969
1679736115.86913,505856,2903.38989257812,-1661.58239746094
1679736130.29214,507904,2919.63989257812,-1613.61462402344
1679736144.33973,509952,2919.63989257812,-1613.61462402344
1679736159.06107,512000,2932.09008789063,-1563.74719238281
1679736201.64196,518144,2958.28002929687,-1471.95910644531
1679736216.14756,520192,2963.2099609375,-1388.19702148438
1679736230.12632,522240,2963.2099609375,-1388.19702148438
1679736244.71186,524288,2963.2099609375,-1362.64245605469
1679736272.77196,528384,2963.2099609375,-1322.89331054688
1679736287.05447,530432,2963.2099609375,-1298.62194824219
1679736301.43069,532480,2985.1298828125,-1285.46020507813
1679736316.16208,534528,2985.1298828125,-1269.59460449219
1679736344.51657,538624,2987.47998046875,-1214.73278808594
1679736359.28606,540672,2987.47998046875,-1200.97631835938
1679736387.71269,544768,2987.47998046875,-1185.5166015625
1679736415.87303,548864,3002,-1165.68237304688
1679736430.20269,550912,3002,-1150.32055664063
1679736458.80095,555008,3002,-1117.71850585938
1679736473.0954,557056,3002,-1104.38146972656
1679736501.30527,561152,3002,-1088.45043945313
1679736515.67373,563200,3002,-990.420532226563
1679736530.39551,565248,3002,-970.677673339844
1679736544.20791,567296,3002,-970.677673339844
1679736572.88582,571392,3002,-890.220275878906
1679736586.96839,573440,3002,-890.220275878906
1679736601.36784,575488,3002,-872.990600585938
1679736615.80632,577536,3002,-855.104614257813
1679736630.14824,579584,3002,-841.339172363281
1679736644.21834,581632,3002,-841.339172363281
1679736658.57717,583680,3002,-829.453857421875
1679736672.92529,585728,3002,-815.487060546875
1679736686.69708,587776,3002,-815.487060546875
1679736701.23196,589824,3002,-791.583374023438
1679736715.63163,591872,3002,-779.685180664063
1679736730.39839,593920,3002,-779.685180664063
1679736744.76157,595968,3002,-765.839416503906
1679736759.09394,598016,3002,-751.705871582031
1679736773.02252,600064,3002,-751.705871582031
1679736801.6647,604160,3002,-728.453247070313
1679736815.5464,606208,3002,-728.453247070313
1679736830.03963,608256,3002,-720.7890625
1679736845.62091,610304,3002,-714.124572753906
1679736859.59764,612352,3002,-714.124572753906
1679736874.11109,614400,3002,-709.56591796875
1679736888.74108,616448,3002,-702.438171386719
1679736902.53182,618496,3002,-702.438171386719
1679736916.81269,620544,3002,-694.078491210938
1679736931.09892,622592,3001.61010742187,-699.313659667969
1679736945.34563,624640,3001.169921875,-703.793090820313
1679736959.32794,626688,3001.169921875,-703.793090820313
1679736973.91251,628736,3001.169921875,-698.601196289063
1679736988.39599,630784,3001.169921875,-692.495910644531
1679737002.28771,632832,3001.169921875,-692.495910644531
1679737016.69909,634880,3000.2900390625,-697.607849121094
1679737044.71537,638976,3000.2900390625,-693.239562988281
1679737059.25105,641024,2999.88989257813,-697.623046875
1679737073.73837,643072,2999.88989257813,-693.967651367188
1679737087.67747,645120,2999.88989257813,-693.967651367188
1679737102.22259,647168,2999.669921875,-699.216552734375
1679737117.14381,649216,2999.15991210937,-705.9521484375
1679737145.51514,653312,2998.5400390625,-712.158203125
1679737159.78827,655360,2997.919921875,-718.581665039063
1679737174.26511,657408,2997.44995117188,-725.548889160156
1679737188.01839,659456,2997.44995117188,-725.548889160156
1679737202.31069,661504,2996.86010742187,-732.455139160156
1679737230.68818,665600,2995.44995117187,-740.314086914063
1679737245.04956,667648,2994.05004882813,-748.355895996094
1679737273.77237,671744,2990.51000976563,-764.418395996094
1679737302.07692,675840,2989.19995117188,-772.659606933594
1679737316.34425,677888,2988.52001953125,-781.062622070313
1679737330.11265,679936,2988.52001953125,-781.062622070313
1679737344.44576,681984,2987.64990234375,-789.494812011719
1679737358.9994,684032,2987.64990234375,-788.341491699219
1679737373.27049,686080,2987.64990234375,-788.341491699219
1679737387.66023,688128,2987.64990234375,-786.837829589844
1679737402.06116,690176,2987.64990234375,-785.784362792969
1679737416.44561,692224,2987.64990234375,-784.857849121094
1679737430.23159,694272,2987.64990234375,-784.857849121094
1679737459.55972,698368,2987.64990234375,-783.438842773438
1679737473.52984,700416,2987.64990234375,-783.438842773438
1679737488.05281,702464,2987.64990234375,-782.507751464844
1679737502.51477,704512,2987.64990234375,-781.813354492188
1679737516.28913,706560,2987.64990234375,-781.813354492188
1679737530.72686,708608,2987.64990234375,-781.263854980469
1679737545.31672,710656,2987.64990234375,-780.725708007813
1679737559.38246,712704,2987.64990234375,-780.725708007813
1679737574.22093,714752,2987.64990234375,-780.026123046875
1679737588.56785,716800,2987.64990234375,-779.496154785156
