Wall time,Step,Value
1680664777.0769832,2048,-992.54736328125
1680664809.4145498,6144,-985.2508544921875
1680664825.78745,8192,-983.2000732421875
1680664841.464396,10240,-983.0322265625
1680664888.4316733,16384,-968.7835083007812
1680664920.0651886,20480,-810.2319946289062
1680664935.5335412,22528,-810.2319946289062
1680664951.0628562,24576,-747.3056640625
1680664997.5316842,30720,-685.7528076171875
1680665013.289835,32768,-688.2498168945312
1680665029.0309198,34816,-698.5346069335938
1680665044.679494,36864,-705.1369018554688
1680665060.2108428,38912,-705.1369018554688
1680665075.8494513,40960,-711.8087768554688
1680665092.22596,43008,-732.2421875
1680665107.8116503,45056,-741.2742919921875
1680665124.0332363,47104,-757.65380859375
1680665139.987508,49152,-763.377685546875
1680665171.8565326,53248,-780.7667236328125
1680665187.1202717,55296,-780.7667236328125
1680665203.522288,57344,-785.237060546875
1680665219.2916431,59392,-786.4296875
1680665235.259992,61440,-758.0581665039062
1680665250.7316575,63488,-762.3428344726562
1680665266.0857487,65536,-767.5908203125
1680665281.671331,67584,-772.4710083007812
1680665297.244845,69632,-776.7455444335938
1680665312.9499109,71680,-780.6439819335938
1680665344.6314368,75776,-788.3925170898438
1680665360.4938686,77824,-792.6565551757812
1680665376.1967382,79872,-796.2882080078125
1680665392.0830858,81920,-775.5643310546875
1680665407.241947,83968,-775.5643310546875
1680665438.8049881,88064,-761.1414184570312
1680665455.619081,90112,-776.3057861328125
1680665505.4000804,96256,-801.5712890625
1680665522.004141,98304,-808.560791015625
1680665538.3509188,100352,-815.3941650390625
1680665553.6675081,102400,-815.3941650390625
1680665569.7643104,104448,-803.481689453125
1680665586.509699,106496,-812.9440307617188
1680665602.2489772,108544,-815.4994506835938
1680665618.486134,110592,-818.3878173828125
1680665634.501151,112640,-820.9995727539062
1680665650.5362122,114688,-809.1551513671875
1680665682.3946836,118784,-810.9027099609375
1680665698.7727263,120832,-799.3485717773438
1680665729.9634767,124928,-788.4069213867188
1680665746.1977694,126976,-768.7638549804688
1680665763.2559552,129024,-777.9613037109375
1680665779.259396,131072,-781.1719360351562
1680665811.448818,135168,-767.3291625976562
1680665827.1605873,137216,-756.3440551757812
1680665842.9669356,139264,-745.9568481445312
1680665857.9359329,141312,-745.9568481445312
1680665888.9634418,145408,-706.8231201171875
1680665904.0676425,147456,-706.8231201171875
1680665919.5997381,149504,-686.1429443359375
1680665935.3529987,151552,-670.5900268554688
1680665966.4704392,155648,-652.3157958984375
1680665982.125152,157696,-627.449462890625
1680665997.0494134,159744,-627.449462890625
1680666012.7256045,161792,-598.4657592773438
1680666028.356477,163840,-571.2017211914062
1680666044.0818446,165888,-563.5243530273438
1680666059.4904244,167936,-556.7025756835938
1680666075.0025923,169984,-556.7025756835938
1680666090.8081992,172032,-540.7442016601562
1680666106.6188767,174080,-513.652587890625
1680666121.6257207,176128,-513.652587890625
1680666137.1393435,178176,-483.78082275390625
1680666152.7409444,180224,-450.0310974121094
1680666167.9536178,182272,-450.0310974121094
1680666183.6603794,184320,-422.37176513671875
1680666199.0956905,186368,-392.1634826660156
1680666230.473358,190464,-360.1006164550781
1680666262.0095284,194560,-295.28717041015625
1680666277.2682114,196608,-295.28717041015625
1680666293.0567017,198656,-262.25872802734375
1680666339.4011977,204800,-197.5957794189453
1680666355.5144374,206848,-159.92869567871094
1680666370.5922446,208896,-159.92869567871094
1680666401.806546,212992,-77.38143920898438
1680666416.9334319,215040,-77.38143920898438
1680666448.3618813,219136,4.993146896362305
1680666464.2062943,221184,18.506141662597656
1680666479.1813757,223232,18.506141662597656
1680666495.4826958,225280,60.931949615478516
1680666511.324929,227328,103.86845397949219
1680666527.276535,229376,146.91778564453125
1680666542.3181527,231424,146.91778564453125
1680666573.8130007,235520,232.36016845703125
1680666589.2400806,237568,232.36016845703125
1680666604.9148507,239616,275.136962890625
1680666620.3896685,241664,308.11712646484375
1680666635.3450286,243712,308.11712646484375
1680666651.07952,245760,342.1566467285156
1680666666.814562,247808,374.9410705566406
1680666681.874787,249856,374.9410705566406
1680666697.5655155,251904,415.9894104003906
1680666713.141053,253952,447.10028076171875
1680666743.7779224,258048,489.4259338378906
1680666759.8701918,260096,532.087158203125
1680666775.2974553,262144,532.087158203125
1680666791.15709,264192,573.5169677734375
1680666806.7416937,266240,614.614501953125
1680666821.9875402,268288,614.614501953125
1680666837.6953378,270336,658.089111328125
1680666853.513576,272384,701.7381591796875
1680666884.163538,276480,745.2952270507812
1680666915.8081844,280576,830.9226684570312
1680666930.8122296,282624,830.9226684570312
1680666946.3626058,284672,872.5054321289062
1680666962.1784658,286720,914.8930053710938
1680666977.290759,288768,914.8930053710938
1680666992.9870005,290816,956.5455932617188
1680667023.664189,294912,997.3788452148438
1680667039.2400773,296960,1037.1695556640625
1680667055.296979,299008,1076.6368408203125
1680667070.395411,301056,1076.6368408203125
1680667086.129381,303104,1106.7218017578125
1680667101.9114182,305152,1146.2939453125
1680667133.0593386,309248,1190.646728515625
1680667166.0381575,313344,1196.625732421875
1680667182.0597434,315392,1185.7147216796875
1680667197.735473,317440,1214.3309326171875
1680667229.132377,321536,1253.918701171875
1680667245.0368917,323584,1294.645751953125
1680667260.3673801,325632,1294.645751953125
1680667276.311885,327680,1335.43701171875
1680667291.8977773,329728,1376.6456298828125
1680667307.1920314,331776,1376.6456298828125
1680667322.9431152,333824,1417.87548828125
1680667338.787156,335872,1458.2091064453125
1680667353.7829816,337920,1458.2091064453125
1680667370.4148824,339968,1499.669189453125
1680667386.588878,342016,1541.11474609375
1680667417.6644516,346112,1582.17822265625
1680667433.1571891,348160,1624.5069580078125
1680667449.01977,350208,1667.1480712890625
1680667464.2362394,352256,1667.1480712890625
1680667480.6506834,354304,1709.1817626953125
1680667496.6776886,356352,1752.00537109375
1680667512.292037,358400,1752.00537109375
1680667527.9628308,360448,1794.5330810546875
1680667543.8945096,362496,1824.9874267578125
1680667558.954745,364544,1824.9874267578125
1680667574.7518463,366592,1866.8006591796875
1680667605.471401,370688,1908.831298828125
1680667621.0427454,372736,1950.4266357421875
1680667636.924176,374784,1992.2724609375
1680667652.2830832,376832,1992.2724609375
1680667667.9098349,378880,2033.615478515625
1680667683.9546912,380928,2075.514892578125
1680667699.268056,382976,2075.514892578125
1680667745.9842744,389120,2190.9091796875
1680667761.1756465,391168,2190.9091796875
1680667776.8331437,393216,2221.773193359375
1680667792.520599,395264,2253.324951171875
1680667807.5109725,397312,2253.324951171875
1680667823.5708945,399360,2277.802001953125
1680667839.2704365,401408,2318.76708984375
1680667869.738505,405504,2359.11279296875
1680667885.7365582,407552,2399.24462890625
1680667901.052652,409600,2399.24462890625
1680667916.582438,411648,2439.211669921875
1680667947.3343256,415744,2466.532958984375
1680667962.780929,417792,2496.094970703125
1680667978.4111996,419840,2526.654541015625
1680667993.3915162,421888,2526.654541015625
1680668009.2918382,423936,2552.208984375
1680668024.9026089,425984,2574.2822265625
1680668040.6892052,428032,2597.248046875
1680668055.8660889,430080,2597.248046875
1680668071.5626912,432128,2623.88623046875
1680668087.1371217,434176,2647.91943359375
1680668118.1065161,438272,2666.645751953125
1680668134.2405338,440320,2682.287353515625
1680668149.46539,442368,2682.287353515625
1680668165.1390705,444416,2698.384765625
1680668196.174802,448512,2730.46142578125
1680668211.8093503,450560,2763.216064453125
1680668227.5366514,452608,2787.708740234375
1680668242.510914,454656,2787.708740234375
1680668258.692775,456704,2802.634521484375
1680668274.689645,458752,2815.092041015625
1680668289.997509,460800,2815.092041015625
1680668305.893135,462848,2823.554443359375
1680668321.7083607,464896,2836.63916015625
1680668368.5254288,471040,2854.39990234375
1680668384.3838096,473088,2862.839111328125
1680668399.7002633,475136,2862.839111328125
1680668415.5754118,477184,2868.729248046875
1680668431.5582907,479232,2874.618408203125
1680668446.9116614,481280,2874.618408203125
1680668462.8337634,483328,2879.625244140625
1680668478.6952322,485376,2885.58984375
1680668494.442701,487424,2885.58984375
1680668510.5122602,489472,2892.82958984375
1680668526.8213181,491520,2898.396728515625
1680668558.346594,495616,2901.62939453125
1680668573.8888986,497664,2906.1875
1680668589.259673,499712,2906.1875
1680668605.0421557,501760,2911.70068359375
1680668620.888566,503808,2944.967529296875
1680668636.2994528,505856,2944.967529296875
1680668652.1056776,507904,2949.15087890625
1680668668.0388722,509952,2953.641845703125
1680668683.588483,512000,2953.641845703125
1680668731.5073748,518144,2967.036376953125
1680668746.841214,520192,2967.036376953125
1680668762.8499112,522240,2971.2294921875
1680668778.724888,524288,2974.94970703125
1680668810.0779936,528384,2978.86474609375
1680668825.8336606,530432,2984.3994140625
1680668841.1038094,532480,2984.3994140625
1680668856.9248269,534528,2990.854736328125
1680668888.5144234,538624,2996.58935546875
1680668904.5461798,540672,3002.509765625
1680668936.1543715,544768,3009.947998046875
1680668968.1317585,548864,3028.093017578125
1680668983.6192832,550912,3028.093017578125
1680669015.7323005,555008,3044.3466796875
1680669030.9548578,557056,3044.3466796875
1680669062.9225807,561152,3062.39013671875
1680669078.6341949,563200,3071.193115234375
1680669093.7763894,565248,3071.193115234375
1680669109.7682438,567296,3080.240234375
1680669141.052263,571392,3088.746337890625
1680669156.922641,573440,3098.32177734375
1680669172.846539,575488,3108.93505859375
1680669188.1761088,577536,3108.93505859375
1680669204.1575422,579584,3121.645263671875
1680669220.27849,581632,3133.741943359375
1680669235.5643249,583680,3133.741943359375
1680669251.3231995,585728,3144.788330078125
1680669266.6966672,587776,3157.8076171875
1680669281.8949816,589824,3157.8076171875
1680669297.4268095,591872,3169.834228515625
1680669313.4356923,593920,3218.72607421875
1680669328.6402287,595968,3218.72607421875
1680669344.5559793,598016,3268.595947265625
1680669360.3561015,600064,3318.072021484375
1680669391.228479,604160,3371.519775390625
1680669406.8430288,606208,3424.778076171875
1680669422.4138947,608256,3478.2470703125
1680669437.8364096,610304,3478.2470703125
1680669453.5450313,612352,3531.857421875
1680669469.236632,614400,3585.49267578125
1680669484.6339977,616448,3585.49267578125
1680669500.132989,618496,3599.898681640625
1680669515.718437,620544,3613.785400390625
1680669530.8180742,622592,3613.785400390625
1680669546.4819238,624640,3626.948486328125
1680669562.2773566,626688,3640.28515625
1680669577.4666145,628736,3640.28515625
1680669593.510053,630784,3653.11572265625
1680669609.4402401,632832,3666.06982421875
1680669624.57339,634880,3666.06982421875
1680669655.9298286,638976,3692.4931640625
1680669671.5163836,641024,3692.4931640625
1680669687.5135522,643072,3705.156982421875
1680669703.5473716,645120,3717.86865234375
1680669719.397657,647168,3729.7255859375
1680669734.5024443,649216,3729.7255859375
1680669766.2112036,653312,3753.862548828125
1680669781.2498488,655360,3753.862548828125
1680669797.3460677,657408,3765.46044921875
1680669813.4965415,659456,3777.166015625
1680669828.7913864,661504,3777.166015625
1680669860.257836,665600,3802.447998046875
1680669875.467287,667648,3802.447998046875
1680669906.882649,671744,3827.113037109375
1680669937.7946165,675840,3839.313720703125
1680669953.3317442,677888,3851.13427734375
1680669968.3163793,679936,3851.13427734375
1680669984.008483,681984,3862.658203125
1680669999.7234573,684032,3872.555908203125
1680670014.7935045,686080,3872.555908203125
1680670030.8732426,688128,3884.2158203125
1680670046.6247437,690176,3896.146728515625
1680670062.356557,692224,3908.377197265625
1680670077.346958,694272,3908.377197265625
1680670108.8737247,698368,3931.471923828125
1680670124.1128838,700416,3931.471923828125
1680670139.736932,702464,3942.97900390625
1680670155.4310064,704512,3954.816162109375
1680670170.4039934,706560,3954.816162109375
1680670186.0636134,708608,3966.871337890625
1680670201.6103184,710656,3979.30517578125
1680670216.9718032,712704,3979.30517578125
1680670232.8627727,714752,3991.4833984375
1680670248.7285452,716800,4003.2314453125
1680670263.736142,718848,4003.2314453125
1680670295.316815,722944,4025.202880859375
1680670310.5415125,724992,4025.202880859375
1680670326.218055,727040,4035.47021484375
1680670342.163601,729088,4045.316162109375
1680670373.0468647,733184,4055.3017578125
1680670388.6409607,735232,4065.6953125
1680670419.594789,739328,4075.00341796875
1680670435.4691517,741376,4083.795654296875
1680670451.1514275,743424,4092.410400390625
1680670466.335971,745472,4092.410400390625
1680670481.827116,747520,4101.216796875
1680670497.4121034,749568,4109.6123046875
1680670512.572622,751616,4109.6123046875
1680670528.124103,753664,4118.03369140625
1680670543.5897577,755712,4125.14794921875
1680670558.8726919,757760,4125.14794921875
1680670621.1551747,765952,4143.82373046875
1680670636.9733627,768000,4149.86767578125
